year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status,UID,age_category,listing_instance,birth_year,ca_updated,el_updated,early_life,career
2021,4,2674,1.0 B,Adair,A. Jayson,A. Jayson Adair,1969-10-16,52.0,Male,United States,United States,Dallas,Automotive,Automotive,,,True,,A. Jayson Adair1969.0,51-60,First,1969.0,True,True,"Jay Adair (born 1969/1970) is an American billionaire businessman, and the chief executive officer (CEO) of Copart, a car salvage company founded by his father-in-law, Willis Johnson.Adair started at Copart as a manager in 1989 at the age of 19. In 1998, Adair pioneered Copart's move into online auctions, and by 2003, the company put auctions 100% online. Adair has been a board member of Copart since September 1992.Adair became the CEO of Copart, taking over Willis Johnson as he stepped down, in February 2010. He owns shares in the company worth more than $800 million.Adair is married to Tammi, daughter of Willis Johnson, and they have two children. They own a Suisun Valley vineyard in California.","Jay Adair (born 1969/1970) is an American billionaire businessman, and the chief executive officer (CEO) of Copart, a car salvage company founded by his father-in-law, Willis Johnson.Adair started at Copart as a manager in 1989 at the age of 19. In 1998, Adair pioneered Copart's move into online auctions, and by 2003, the company put auctions 100% online. Adair has been a board member of Copart since September 1992.Adair became the CEO of Copart, taking over Willis Johnson as he stepped down, in February 2010. He owns shares in the company worth more than $800 million.Adair is married to Tammi, daughter of Willis Johnson, and they have two children. They own a Suisun Valley vineyard in California."
2001,7,151,3.0 B,,,A. Jerrold Perenchio,1930-12-20,71.0,,United States,United States,Bel Air,,Media and Entertainment,,,False,,A. Jerrold Perenchio1930.0,60+,First,1930.0,True,True,"Perenchio was the grandson of Italian immigrants Giovanni Batiste (later John) Perenchio and Madeline D'Adda, who came to the United States in 1896 from the northern Italian village of Pavone. His grandfather established the Fresno Grape Exchange, built a packinghouse that shipped fresh fruits and vegetables to the Great Lakes region, and later founded the Crestview Winery. Perenchio was raised in Fresno until the age of fifteen, when he was sent to Black Foxe Military Institute in Los Angeles for three-and-a-half years, graduating in 1949.That fall, he enrolled at the University of California, Los Angeles (UCLA), attending for five years and completing his B.S. in business in 1954. He financed his own way through college, first with a series of odd jobs and then by establishing a small company – Party Management – that booked bands and catered parties at UCLA and the University of Southern California.During his last two years at UCLA, Perenchio was a member of the Air Force ROTC, which required that he serve a three-year hitch in the Air Force after graduating. In 1955, he entered the Air Force as a 2nd Lieutenant and earned his wings as a single-engine jet fighter pilot. He was promoted to 1st Lieutenant and received an honorable discharge in 1958.","Perenchio was the grandson of Italian immigrants Giovanni Batiste (later John) Perenchio and Madeline D'Adda, who came to the United States in 1896 from the northern Italian village of Pavone. His grandfather established the Fresno Grape Exchange, built a packinghouse that shipped fresh fruits and vegetables to the Great Lakes region, and later founded the Crestview Winery. Perenchio was raised in Fresno until the age of fifteen, when he was sent to Black Foxe Military Institute in Los Angeles for three-and-a-half years, graduating in 1949.That fall, he enrolled at the University of California, Los Angeles (UCLA), attending for five years and completing his B.S. in business in 1954. He financed his own way through college, first with a series of odd jobs and then by establishing a small company – Party Management – that booked bands and catered parties at UCLA and the University of Southern California.During his last two years at UCLA, Perenchio was a member of the Air Force ROTC, which required that he serve a three-year hitch in the Air Force after graduating. In 1955, he entered the Air Force as a 2nd Lieutenant and earned his wings as a single-engine jet fighter pilot. He was promoted to 1st Lieutenant and received an honorable discharge in 1958."
2001,7,251,1.9 B,,,Abdul Aziz Al Ghurair,1954-07-01,47.0,,United Arab Emirates,United Arab Emirates,Dubai,,Finance and Investments,,,False,,Abdul Aziz Al Ghurair1954.0,41-50,First,1954.0,True,True,"Abdul Aziz Al Ghurair (Arabic: عبد العزيز الغرير; born 1 July 1954) is an Emirati politician and billionaire businessman who is chairman of Mashreq and a director of the Abdullah Al Ghurair Group. Al Ghurair was speaker of the UAE's Federal National Council from 2007 to 2011. As of 2022, his net worth was estimated by Forbes at US$2.6 billion.","Abdul Aziz Al Ghurair (Arabic: عبد العزيز الغرير; born 1 July 1954) is an Emirati politician and billionaire businessman who is chairman of Mashreq and a director of the Abdullah Al Ghurair Group. Al Ghurair was speaker of the UAE's Federal National Council from 2007 to 2011. As of 2022, his net worth was estimated by Forbes at US$2.6 billion."
2015,3,1324,1.4 B,Alhokair,Abdul Majeed,Abdul Majeed Alhokair,1970-01-01,45.0,Male,Saudi Arabia,Saudi Arabia,Riyadh,Fashion & Retail,Fashion and Retail,,,True,,Abdul Majeed Alhokair1970.0,41-50,First,1970.0,True,True,page not found,page not found
2016,3,1577,1.1 B,Abdul,Rasyid,Abdul Rasyid,1958-01-01,58.0,Male,Indonesia,Singapore,Singapore,Manufacturing,Manufacturing,,Entrepreneur,True,,Abdul Rasyid1958.0,51-60,First,1958.0,True,True,page not found,page not found
2006,3,562,1.4 B,,,Abdulla Al Futtaim,1940-01-01,66.0,,United Arab Emirates,United Arab Emirates,dubai,,,,,False,,Abdulla Al Futtaim1940.0,60+,First,1940.0,True,True,"Abdulla Al Futtaim (Arabic: عبدالله الفطيم) is an Emirati billionaire businessman, owner of  Al-Futtaim Group, and cousin of fellow billionaire Majid Al Futtaim.
He earned his wealth through operations in the automotive field, as well as retail and real estate.As of October 2021, his net worth was estimated at $2.2 billion.","Abdulla Al Futtaim (Arabic: عبدالله الفطيم) is an Emirati billionaire businessman, owner of  Al-Futtaim Group, and cousin of fellow billionaire Majid Al Futtaim.
He earned his wealth through operations in the automotive field, as well as retail and real estate.As of October 2021, his net worth was estimated at $2.2 billion."
2013,3,437,3.1 B,Al Ghurair,Abdulla bin Ahmad,Abdulla bin Ahmad Al Ghurair,,,Male,United Arab Emirates,United Arab Emirates,Dubai,Diversified,Diversified,,Athlete,False,,Abdulla bin Ahmad Al Ghurairnan,-,First,,True,True,"Al Ghurair is a member of a prominent Emirati business family. His brother Saif Ahmad Al Ghurair (1924-2019), was a fellow billionaire and head of the Al Ghurair Group.In 1967, Ghurair founded Mashreqbank. In October 2019 he stepped down as Chairman, but remained as a board member. Under the Jenan brand, his company Al Ghurair Food sold pasta.His construction company was involved in building the Dubai Metro. It is also the constructor of the exterior cladding of the world´s tallest building, Burj Khalifa.Ghurair was considered to be the richest person in the United Arab Emirates (UAE) and the 809th richest in the world as of 17 February 2021.According to Forbes, Al Ghurair has a net worth of $3.1 billion as of January 2022.In 1975, Oman Insurance was launched by Abdullah Al Ghurair. On 06 October 2022, Oman Insurance has rebranded to Sukoon.","Al Ghurair is a member of a prominent Emirati business family. His brother Saif Ahmad Al Ghurair (1924-2019), was a fellow billionaire and head of the Al Ghurair Group.In 1967, Ghurair founded Mashreqbank. In October 2019 he stepped down as Chairman, but remained as a board member. Under the Jenan brand, his company Al Ghurair Food sold pasta.His construction company was involved in building the Dubai Metro. It is also the constructor of the exterior cladding of the world´s tallest building, Burj Khalifa.Ghurair was considered to be the richest person in the United Arab Emirates (UAE) and the 809th richest in the world as of 17 February 2021.According to Forbes, Al Ghurair has a net worth of $3.1 billion as of January 2022.In 1975, Oman Insurance was launched by Abdullah Al Ghurair. On 06 October 2022, Oman Insurance has rebranded to Sukoon."
2006,3,174,3.8 B,,,Abdullah Al Rajhi,,,,Saudi Arabia,Saudi Arabia,,,Finance and Investments,,,False,,Abdullah Al Rajhinan,-,First,,True,True,page not found,page not found
2014,3,1372,1.2 B,Rabiu,Abdulsamad,Abdulsamad Rabiu,1960-08-04,54.0,Male,Nigeria,Nigeria,Lagos,Diversified,Diversified,,,False,,Abdulsamad Rabiu1960.0,51-60,First,1960.0,True,True,page not found,page not found
2015,3,1605,1.15 B,Firodia,Abhay,Abhay Firodia,1944-11-05,71.0,Male,India,India,Pune,Automotive,Automotive,,,False,,Abhay Firodia1944.0,60+,First,1944.0,True,True,page not found,page not found
